자치구,교육지원청,학교급,학교명,학교_주소,학교_학습점수,학교_진로점수,학교_정서심리점수,학교_경제복지점수
강서구,강서양천교육지원청,고등학교,공항고등학교,서울특별시 강서구 방화대로34길 43(마곡동. 공항고등학교),73.24,45.4,59.71,76.87
구로구,남부교육지원청,고등학교,구로고등학교,서울특별시 구로구 가마산로27길 45. 구로고등학교 (구로동),83.43,72.56,53.44,62.58
구로구,남부교육지원청,고등학교,구일고등학교,서울특별시 구로구 구일로 90-51(구로동),89.17,62.63,63,49.46
금천구,남부교육지원청,고등학교,금천고등학교,서울특별시 금천구 시흥대로38길 26(시흥동.금천고등학교),58.06,33.65,40.54,33.42
금천구,남부교육지원청,고등학교,독산고등학교,서울특별시 금천구 문성로 64. 독산고등학교 (독산동),42.06,52.99,67.98,79.64
서초구,강남서초교육지원청,고등학교,서초고등학교,서울특별시 서초구 반포대로27길 29(서초동),66.1,63.73,49.65,32.8
중구,중부교육지원청,고등학교,성동고등학교,서울특별시 중구 퇴계로90길 17. 성동고등학교 (신당동),57.86,81.76,57.39,17.17
노원구,북부교육지원청,고등학교,노원고등학교,서울특별시 노원구 노원로 586(상계동),67.49,51.52,45.76,33.06
관악구,동작관악교육지원청,고등학교,인헌고등학교,서울특별시 관악구 인헌9길 74(봉천동.인헌고등학교),43.49,44.79,62.45,41.44
양천구,강서양천교육지원청,고등학교,금옥여자고등학교,서울특별시 양천구 신정로 213(신정동),64.6,56.54,67.58,88.44
은평구,서부교육지원청,고등학교,진관고등학교,서울특별시 은평구 진관4로 26(진관동),83.43,71.78,50.1,77.18
강동구,강동송파교육지원청,고등학교,선사고등학교,서울특별시 강동구 고덕로25길 17. 선사고등학교 (암사동),56.81,57.54,46.82,26.53
성동구,성동광진교육지원청,고등학교,도선고등학교,서울특별시 성동구 마장로 156(하왕십리동),41.03,30.23,38.8,6.89
성동구,성동광진교육지원청,고등학교,금호고등학교,서울특별시 성동구 금호로 118(금호동1가. 금호고등학교),52.12,42.78,50.42,31.87
관악구,동작관악교육지원청,고등학교,광신고등학교,서울특별시 관악구 광신길 141(신림동.광신중고등학교),28.62,49.07,32.02,18.87
강서구,강서양천교육지원청,고등학교,대일고등학교,서울특별시 강서구 등촌로35길 90(등촌동) 대일고등학교,67.9,72.7,35.94,36.19
강서구,강서양천교육지원청,고등학교,마포고등학교,서울특별시 강서구 화곡로 403(등촌동.마포고등학교),64.73,35.67,56.98,53.21
서대문구,서부교육지원청,고등학교,명지고등학교,서울특별시 서대문구 명지2길 56. 명지고등학교 (홍은동),80.37,71.56,40.27,60.11
강동구,강동송파교육지원청,고등학교,성덕고등학교,서울특별시 강동구 구천면로 396(천호동. 성덕고등학교),80.81,50.46,44.29,38.56
양천구,강서양천교육지원청,고등학교,백암고등학교,서울특별시 양천구 신정로13길 16. 백암고등학교 (신정동),74.62,69.19,48.08,48.33
송파구,강동송파교육지원청,고등학교,보성고등학교,서울특별시 송파구 양재대로 1278(방이동.보성중고등학교),75.84,38.07,29.94,34.14
강남구,강남서초교육지원청,고등학교,서울세종고등학교,서울특별시 강남구 광평로51길 36.서울세종고등학교 (수서동),57.51,39.2,40.03,21.49
동작구,동작관악교육지원청,고등학교,성남고등학교,서울특별시 동작구 대방동길 74(대방동),69.43,42.39,37.2,42.62
강북구,성북강북교육지원청,고등학교,영훈고등학교,서울특별시 강북구 도봉로13가길 19(미아동.학교법인영훈학원),69.27,68.83,50.35,93.94
서대문구,서부교육지원청,고등학교,이화여자대학교사범대학부속이화금란고등학교,서울특별시 서대문구 성산로 560. 이대부속고등학교 (대신동),69.16,57.59,55.7,57.48
