자치구,교육지원청,학교급,학교명,학교_주소,위도,경도,대표_전화번호,홈페이지_URL,학교_학생수,학교_교원1인당학생수,교육복지우선지원여부_UI,위클래스_있음,전문상담교사_수,보건교사_수,진로상담실_있음,방과후교과프로그램수,방과후특기적성프로그램수
강서구,강서양천교육지원청,고등학교,공항고등학교,서울특별시 강서구 방화대로34길 43(마곡동. 공항고등학교),37.5704610944881,126.81851983357,02  -2664-6874,http://konghang.sen.hs.kr,654,10.9,해당,있음,1,1,있음,0.0,1.0
구로구,남부교육지원청,고등학교,구로고등학교,서울특별시 구로구 가마산로27길 45. 구로고등학교 (구로동),37.4988400846064,126.890309191986,02  -851 -2065,http://guro.sen.hs.kr,942,11.8,해당,있음,0,2,있음,0.0,1.0
구로구,남부교육지원청,고등학교,구일고등학교,서울특별시 구로구 구일로 90-51(구로동),37.4935052933826,126.874618469825,02  -858 -2549,http://guil.sen.hs.kr,776,12.7,미해당,있음,1,1,있음,0.0,0.0
금천구,남부교육지원청,고등학교,금천고등학교,서울특별시 금천구 시흥대로38길 26(시흥동.금천고등학교),37.4448950223082,126.904901769267,02  -896 -3181,https://geumcheon.sen.hs.kr,660,10.6,미해당,있음,1,1,있음,3.0,4.0
금천구,남부교육지원청,고등학교,독산고등학교,서울특별시 금천구 문성로 64. 독산고등학교 (독산동),37.4762187185354,126.910939635513,02  -857 -6248,http://doksan.sen.hs.kr,550,10.2,해당,있음,0,1,있음,10.0,7.0
서초구,강남서초교육지원청,고등학교,서초고등학교,서울특별시 서초구 반포대로27길 29(서초동),37.4896116868936,127.005378249754,02  -584 -4234,http://seocho.sen.hs.kr,825,10.3,미해당,있음,1,1,있음,0.0,0.0
중구,중부교육지원청,고등학교,성동고등학교,서울특별시 중구 퇴계로90길 17. 성동고등학교 (신당동),37.5641621970073,127.022389203196,02  -2237-2412,http://sungdong.sen.hs.kr,453,9.2,미해당,있음,0,1,있음,0.0,0.0
노원구,북부교육지원청,고등학교,노원고등학교,서울특별시 노원구 노원로 586(상계동),37.6618031933787,127.054019473757,02  -937 -0079,http://nowon.sen.hs.kr,520,10.4,미해당,있음,1,1,있음,0.0,0.0
관악구,동작관악교육지원청,고등학교,인헌고등학교,서울특별시 관악구 인헌9길 74(봉천동.인헌고등학교),37.4723107319026,126.970485117895,02  -886 -6253,http://inhun.sen.hs.kr,416,8.7,미해당,있음,1,1,있음,2.0,0.0
양천구,강서양천교육지원청,고등학교,금옥여자고등학교,서울특별시 양천구 신정로 213(신정동),37.5109653172242,126.843971681779,02  -2086-7502,http://geumok.sen.hs.kr,761,10.6,해당,있음,0,1,있음,1.0,5.0
은평구,서부교육지원청,고등학교,진관고등학교,서울특별시 은평구 진관4로 26(진관동),37.643338571257,126.924382489033,02  -358 -0782,http://jingwan.sen.hs.kr,815,11.8,해당,있음,0,1,있음,0.0,1.0
강동구,강동송파교육지원청,고등학교,선사고등학교,서울특별시 강동구 고덕로25길 17. 선사고등학교 (암사동),37.5563158751807,127.13577562154,02  -3427-4478,http://sunsa.sen.hs.kr,655,10.2,미해당,있음,1,1,있음,2.0,0.0
성동구,성동광진교육지원청,고등학교,도선고등학교,서울특별시 성동구 마장로 156(하왕십리동),37.5668439494,127.026995731182,02  -2292-8175,http://dosun.sen.hs.kr,421,8.1,미해당,있음,1,2,있음,2.0,1.0
성동구,성동광진교육지원청,고등학교,금호고등학교,서울특별시 성동구 금호로 118(금호동1가. 금호고등학교),37.5536214995345,127.023433782844,02  -2022-0861,http://geumho.sen.hs.kr,382,8.0,미해당,있음,1,1,있음,0.0,0.0
관악구,동작관악교육지원청,고등학교,광신고등학교,서울특별시 관악구 광신길 141(신림동.광신중고등학교),37.4644762024804,126.925940565455,02  -881 -8507,http://kwangshin.sen.hs.kr/,485,9.5,미해당,있음,1,1,있음,19.0,0.0
강서구,강서양천교육지원청,고등학교,대일고등학교,서울특별시 강서구 등촌로35길 90(등촌동) 대일고등학교,37.5395861200876,126.862569926977,070 -4020-6436,https://daeil.sen.hs.kr/index.do,978,12.1,미해당,없음,0,1,있음,9.0,1.0
강서구,강서양천교육지원청,고등학교,마포고등학교,서울특별시 강서구 화곡로 403(등촌동.마포고등학교),37.5600277060889,126.85286487714,02  -3663-2583,http://mapo.sen.hs.kr,714,11.5,미해당,있음,1,1,있음,5.0,4.0
서대문구,서부교육지원청,고등학교,명지고등학교,서울특별시 서대문구 명지2길 56. 명지고등학교 (홍은동),37.5849113531243,126.927090249447,02  -305 -5951,http://myongji.sen.hs.kr,1288,13.6,해당,있음,1,2,있음,6.0,0.0
강동구,강동송파교육지원청,고등학교,성덕고등학교,서울특별시 강동구 구천면로 396(천호동. 성덕고등학교),37.5498545397762,127.141541303447,02  -475 -4620,http://ssd.hs.kr,747,12.5,미해당,있음,1,1,있음,2.0,1.0
양천구,강서양천교육지원청,고등학교,백암고등학교,서울특별시 양천구 신정로13길 16. 백암고등학교 (신정동),37.5122533613422,126.84449517891,02  -2696-0110,http://baegam.sen.hs.kr/,1013,12.8,미해당,있음,1,1,있음,7.0,0.0
송파구,강동송파교육지원청,고등학교,보성고등학교,서울특별시 송파구 양재대로 1278(방이동.보성중고등학교),37.5200898870034,127.135729296295,02  -2152-2552,https://posung.sen.hs.kr,876,12.7,미해당,있음,1,1,있음,5.0,9.0
강남구,강남서초교육지원청,고등학교,서울세종고등학교,서울특별시 강남구 광평로51길 36.서울세종고등학교 (수서동),37.4903893469638,127.102796812957,070 -866 -8311,http://seoulsejong.sen.hs.kr,546,10.7,미해당,있음,1,1,있음,3.0,1.0
동작구,동작관악교육지원청,고등학교,성남고등학교,서울특별시 동작구 대방동길 74(대방동),37.5052815748623,126.926615278225,02  -815 -1334,https://sungnam.sen.hs.kr,967,12.7,미해당,있음,1,1,있음,11.0,7.0
강북구,성북강북교육지원청,고등학교,영훈고등학교,서울특별시 강북구 도봉로13가길 19(미아동.학교법인영훈학원),37.6146818749027,127.02809331872,02  -986 -2500,http://younghoon.sen.hs.kr,997,12.3,해당,있음,1,1,있음,9.0,0.0
서대문구,서부교육지원청,고등학교,이화여자대학교사범대학부속이화금란고등학교,서울특별시 서대문구 성산로 560. 이대부속고등학교 (대신동),37.5663888550725,126.947355714248,02  -361 -6200,http://edaebugo.sen.hs.kr,1018,13.2,미해당,없음,0,1,있음,17.0,6.0
광진구,성동광진교육지원청,고등학교,대원여자고등학교,서울특별시 광진구 용마산로22길 26. 대원여자고등학교 (중곡동),37.5624502219725,127.089376716312,02  -2204-1620,http://dwg.sen.hs.kr,583,10.4,해당,있음,1,1,있음,12.0,10.0
은평구,서부교육지원청,고등학교,동명여자고등학교,서울특별시 은평구 통일로 793(대조동. 동명여자고등학교),37.6144187859471,126.92282044301,02  -385 -0652,http://dongmyung.sen.hs.kr,861,11.5,해당,없음,0,1,있음,0.0,17.0
관악구,동작관악교육지원청,고등학교,서울문영여자고등학교,서울특별시 관악구 관악로 85. 서울문영여자고등학교 (봉천동),37.4729045674501,126.950918062755,02  -873 -3624,http://moonyoung.sen.hs.kr,591,10.4,미해당,있음,2,1,있음,13.0,0.0
