자치구,지역_진로점수,지역_학습점수,지역_정서심리점수,지역_경제복지점수
종로구,93.75,83.33,47.5,84.98
중구,93.75,69.58,57.75,24.5
용산구,68.75,85.58,52,68.36
성동구,68.75,62,54.17,50.95
광진구,68.75,56.38,73.67,52.72
동대문구,93.75,35.55,67.17,88.32
중랑구,27.08,9.93,41.17,56.24
성북구,0,12.19,11.75,9.16
강북구,27.08,47.12,75.83,31.06
도봉구,47.92,20.17,26,41.84
노원구,47.92,56.1,62.83,52.47
은평구,68.75,72.1,57.42,7.13
서대문구,93.75,75.3,62.83,78.8
마포구,68.75,79.96,57.42,57.26
양천구,27.08,25,32.5,83.7
강서구,27.08,49.7,45.5,93.94
구로구,27.08,13.79,49.83,24.42
금천구,68.75,44.54,28.17,45.13
영등포구,4.17,24.54,39,70.58
동작구,68.75,42.9,62.83,46.41
관악구,8.33,36.24,47.67,50.07
서초구,27.08,63.18,6.33,52.77
강남구,68.75,82.71,78,26.7
송파구,27.08,61.71,43.33,18.56
강동구,27.08,40.38,69.33,33.91
